Date,price
06/01/1997,
07/01/1997,3.82
08/01/1997,3.80
09/01/1997,3.61
10/01/1997,3.92
13/01/1997,4.00
14/01/1997,4.01
15/01/1997,4.34
16/01/1997,4.71
17/01/1997,3.91
20/01/1997,3.26
21/01/1997,2.99
22/01/1997,3.05
23/01/1997,2.96
24/01/1997,2.62
27/01/1997,2.98
28/01/1997,3.05
29/01/1997,2.91
30/01/1997,2.86
31/01/1997,2.77
03/02/1997,2.49
04/02/1997,2.59
05/02/1997,2.65
06/02/1997,2.51
07/02/1997,2.39
10/02/1997,2.42
11/02/1997,2.34
12/02/1997,2.42
13/02/1997,2.22
14/02/1997,2.12
17/02/1997,
18/02/1997,1.84
19/02/1997,1.95
20/02/1997,1.92
21/02/1997,1.92
24/02/1997,1.92
25/02/1997,1.77
26/02/1997,1.81
27/02/1997,1.80
28/02/1997,1.78
03/03/1997,1.80
04/03/1997,1.87
05/03/1997,1.92
06/03/1997,1.82
07/03/1997,1.89
10/03/1997,1.95
11/03/1997,1.92
12/03/1997,1.96
13/03/1997,1.98
14/03/1997,1.97
17/03/1997,2.01
18/03/1997,1.91
19/03/1997,1.88
20/03/1997,1.88
21/03/1997,1.87
24/03/1997,1.80
25/03/1997,1.85
26/03/1997,1.85
27/03/1997,1.84
28/03/1997,
31/03/1997,1.84
01/04/1997,1.95
02/04/1997,1.85
03/04/1997,1.87
04/04/1997,1.91
07/04/1997,1.99
08/04/1997,2.01
09/04/1997,1.96
10/04/1997,1.97
11/04/1997,1.98
14/04/1997,2.00
15/04/1997,2.00
16/04/1997,2.02
17/04/1997,2.08
18/04/1997,2.10
21/04/1997,2.09
22/04/1997,2.10
23/04/1997,2.22
24/04/1997,2.11
25/04/1997,2.16
28/04/1997,2.10
29/04/1997,2.09
30/04/1997,2.16
01/05/1997,2.19
02/05/1997,2.21
05/05/1997,2.23
06/05/1997,2.25
07/05/1997,2.34
08/05/1997,2.33
09/05/1997,2.30
12/05/1997,2.27
13/05/1997,2.18
